IP地址,端口,TLS,数据中心,地区,城市,网络延迟(ms)
188.114.96.76,443,true,LHR,欧洲,伦敦,189
188.114.96.247,443,true,LHR,欧洲,伦敦,206
188.114.96.41,443,true,LHR,欧洲,伦敦,207
188.114.96.146,443,true,LHR,欧洲,伦敦,215
104.24.0.106,443,true,IAD,北美洲,阿什本,220
104.24.0.3,443,true,IAD,北美洲,阿什本,221
104.24.0.30,443,true,IAD,北美洲,阿什本,226
104.24.0.189,443,true,IAD,北美洲,阿什本,228
104.24.0.156,443,true,IAD,北美洲,阿什本,232
108.162.192.247,443,true,SJC,北美洲,圣何塞,149
108.162.192.43,443,true,SJC,北美洲,圣何塞,150
104.16.0.200,443,true,SJC,北美洲,圣何塞,151
103.21.244.134,443,true,SJC,北美洲,圣何塞,152
103.21.244.164,443,true,SJC,北美洲,圣何塞,154
104.16.0.171,443,true,SJC,北美洲,圣何塞,154
103.21.244.72,443,true,SJC,北美洲,圣何塞,154
108.162.192.54,443,true,SJC,北美洲,圣何塞,155
108.162.192.47,443,true,SJC,北美洲,圣何塞,156
103.21.244.57,443,true,SJC,北美洲,圣何塞,157
104.16.0.103,443,true,SJC,北美洲,圣何塞,157
104.16.0.250,443,true,SJC,北美洲,圣何塞,159
103.21.244.172,443,true,SJC,北美洲,圣何塞,159
104.16.0.17,443,true,SJC,北美洲,圣何塞,159
108.162.192.248,443,true,SJC,北美洲,圣何塞,163
188.114.96.253,443,true,MAN,欧洲,曼彻斯特,193
